New York City,New York,8274527
Los Angeles,California,3834340
Chicago,Illinois,2836658
Houston,Texas,2208180
Phoenix,Arizona,1552259
Philadelphia,Pennsylvania,1449634
San Antonio,Texas,1328984
San Diego,California,1266731
Dallas,Texas,1240499
San Jose,California,939899
Detroit,Michigan,916952
Jacksonville,Florida,805605
Indianapolis,Indiana,795458
San Francisco,California,764976
Columbus,Ohio,747755
Austin,Texas,743074
Fort Worth,Texas,681818
Memphis,Tennessee,674028
Charlotte,North Carolina,671588
Baltimore,Maryland,637455
El Paso,Texas,606913
Milwaukee,Wisconsin,602191
Boston,Massachusetts,599351
Seattle,Washington,594210
Nashville,Tennessee,590807
Denver,Colorado,588349
Washington,District of Columbia,588292
Las Vegas,Nevada,558880
Louisville,Kentucky,557789
Portland,Oregon,550396
Oklahoma City,Oklahoma,547274
Tucson,Arizona,525529
Atlanta,Georgia,519145
Albuquerque,New Mexico,518271
Fresno,California,470508
Long Beach,California,466520
Sacramento,California,460242
Kansas City,Missouri,450375
Cleveland,Ohio,438042
Virginia Beach,Virginia,434743
Omaha,Nebraska,424482
Miami,Florida,409719
Oakland,California,401489
Tulsa,Oklahoma,384037
Minneapolis,Minnesota,377392
Colorado Springs,Colorado,376427
Raleigh,North Carolina,375806
Honolulu,Hawaii,375571
Arlington,Texas,371038
Wichita,Kansas,361420
St. Louis,Missouri,350759
Santa Ana,California,339555
Tampa,Florida,336823
Anaheim,California,333249
Cincinnati,Ohio,332458
Bakersfield,California,315837
Aurora,Colorado,311794
Pittsburgh,Pennsylvania,311218
Toledo,Ohio,295029
Riverside,California,294437
Stockton,California,287245
Corpus Christi,Texas,285507
Newark,New Jersey,280135
Anchorage,Alaska,279671
Lexington,Kentucky,279044
St. Paul,Minnesota,277251
Buffalo,New York,272632
Plano,Texas,260796
Glendale,Arizona,253152
Fort Wayne,Indiana,251247
Henderson,Nevada,249386
Lincoln,Nebraska,248744
Greensboro,North Carolina,247183
St. Petersburg,Florida,246407
Chandler,Arizona,246399
Jersey City,New Jersey,242389
New Orleans,Louisiana,239124
Norfolk,Virginia,235747
Scottsdale,Arizona,235677
Birmingham,Alabama,229800
Madison,Wisconsin,228775
Orlando,Florida,227907
Baton Rouge,Louisiana,227071
Chesapeake,Virginia,219154
Garland,Texas,218792
Durham,North Carolina,217847
Laredo,Texas,217506
Chula Vista,California,217478
Lubbock,Texas,217326
Winston-Salem,North Carolina,215348
Reno,Nevada,214853
Hialeah,Florida,212217
North Las Vegas,Nevada,212114
Akron,Ohio,207934
Gilbert,Arizona,207550
Rochester,New York,206759
Arlington,Virginia,204568
Montgomery,Alabama,204086
Modesto,California,203955
Boise,Idaho,202832
Fremont,California,201334
Irvine,California,201160
Spokane,Washington,200975
Richmond,Virginia,200123
Shreveport,Louisiana,199569
Irving,Texas,199505
San Bernardino,California,199285
Yonkers,New York,199244
Des Moines,Iowa,196998
Glendale,California,196979
Tacoma,Washington,196520
Grand Rapids,Michigan,193627
Huntington Beach,California,192885
Augusta,Georgia,192142
Mobile,Alabama,191411
Moreno Valley,California,188936
Little Rock,Arkansas,187452
Columbus,Georgia,187046
Amarillo,Texas,186106
